"LandingPageUrl","label","description","label_link"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Doughnut","Doughnut is a podcast client built using Swift. The design and user experience are inspired by Instacast for Mac which was discontinued in 2015.","/software/doughnut/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Handy","Handy is the leading platform for connecting individuals looking for household services with top-quality, pre-screened independent service professionals.","/software/handy/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","GetInsta","The best place to easily get 100% free and high-quality Instagram followers and likes. No password. No survey. No risk. 100% real and safe.","/software/getinsta/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Turn Off the Lights for Desktop","Turn Off the Lights for Desktop is a powerful, helpful app to dim your whole desktop and protect your eyes at night. Turn Off the Lights for Desktop allows you to work, play in a dark environment without damaging your eyes.","/software/turn-off-the-lights-for-desktop/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","HotelsFX","The HotelsFX hotel booking app is the quickest and most secure way to find then book hotels.","/software/hotelsfx/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Gluru","Gluru is the smartest to do list available. It uses artificial intelligence to proactively identify and suggest the tasks that you need to accomplish, based on the content of your paired email accounts. It 100% safe and free to download.","/software/gluru/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Bitroz wallet","Bitroz wallet is the most secure bitcoin wallet Send, receive and hold your bitcoins.","/software/bitroz-wallet/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Forex trading for beginners","#1 Forex trading learning application - trading game for beginners. It is a free simple to use forex learning application for beginners and beyond.","/software/forex-trading-for-beginners/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","GeneratePress","GeneratePress is a fast, lightweight (less than 1MB zipped), mobile responsive WordPress theme built with speed, SEO and usability in mind.","/software/generatepress/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Clerky","Clerky is the easiest way for startups to get legal paperwork done safely. We’re 100% focused on helping startups get legal paperwork done safely, going far beyond simply providing forms.","/software/clerky/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Artsage","ArtSage is a small graphics viewer. It displays the image files in a folder tree. ArtSage is freeware for personal non-commercial use.","/software/artsage/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","CodeMirror","Versatile text editor implemented in JavaScript for the browser. It is specialized for editing code, and comes with a number of language modes and addons that implement more advanced editing functionality.","/software/codemirror/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","DashOne","Supercharge your new tab page with intelligent widgets and smart bookmarks. ""I love opening 100 tabs over and over to get info"" - said no one ever ""This new tab extension saves me 30-45 minutes every day.","/software/dashone/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Edge - Bitcoin Wallet","Buy, sell, send and receive Bitcoin (BTC), Bitcoin Cash (BCH), Litecoin (LTC), Ethereum (ETH) and other top crypto assets. Managing your cryptocurrency has never been easier.","/software/edge--bitcoin-wallet/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","PopKey","Send hilarious, fun, animated GIFs when you chat with your friends with PopKey + GIF Keyboard! Easily search, discover and send the latest and greatest GIFs from pop culture, movies, TV shows, and more.","/software/popkey/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Eatme.io","Eat other fish to grow larger and become king of the sea in this underwater, multiplayer eat-em-up. Different from agar.io, mitosis and other multiplayer games, EatMe.io lets you choose from 15 fish to play.","/software/eatme-io/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Power64","Power64 - Commodore64 Emulator for the Power Macintosh. Power64 is an emulator for the Commodore C64.","/software/power64/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Instachatrooms","InstaChatRooms is the Top Rated Free Chat Rooms Site Online! We Offer Video Chat Rooms, Groups &amp; Live Forums in Many Categories so you are sure to find something that interests you. 100% Free - No Signup - Easy to Use!","/software/instachatrooms/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Liinks","Use Liinks to create and customize an elegant landing page for your links. Connect with Instagram to automatically add links from your post captions to your page. It's simple, fast, and 100% free.","/software/liinks/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","FreeBu","Smart free/busy calendar sharing and meeting organizer. Works with Google Calendar, Microsoft Office365, Apple Calendar and ICS. Full rest API.","/software/freebu/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","MindSnacks French","*** One of the best educational apps of the year - Apple (iTunes Rewind) *** Bonjour! Now you can learn French and play games simultaneously.","/software/mindsnacks-french/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","HaltDos","HaltDos is a SaaS platform to protect websites and data centers against DDoS attacks.","/software/haltdos/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","Asinhunt","Asinhunt was created to be a cheaper Jungle Scout (web app) alternative. It's a web app and does the same things JS does, product search, product tracker, product ideas, CSV export and more.","/software/asinhunt/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","SummarizeBot","SummarizeBot is AI and Blockchain-Powered summarization bot available on Facebook Messenger and Slack platforms. It can summarize any kind of information for you. It can summarize weblinks, documents, images, audio and more.","/software/summarizebot/"
"https://alternativeto.net/browse/search/?p=5&q=top%20100","MotionRidge","Unlimited downloads of After Effects Templates, Premiere Pro, Stock Video, and thousands of stock footage clips. The only creative subscription you need.","/software/motionridge/"
